country,ccode,year,month,dates,elecViolence1,l.elecViolence1,elecViolence2,l.elecViolence2,tae1,nvio1,tae2,nvio2,pcgdp,growth,logIMR,logpredict,SPI,lnpop2,political_violence,gov_democracy,gov_interim,logtenure,dem_duration,regav_dem,regav_pcgdp,regav_IMR,regav_growth,gdpdiff,del_reggdp,del_regten,del_regdem,growthdiff,del_reggrow
Denmark,390,1975,1,1/9/1975,peace,0,peace,0,1,0,1,0,8000.542969,1.181421995,2.332144022,0.000958506,0.222375266,72.75006104,-0.361005604,1,0,2.708050251,4.317488194,2.037746293,4981.84668,2.980423091,1.124044272,1.605939269,0.115045279,-0.138499379,0.027803835,1.051045775,-0.006398191
Thailand,800,1975,1,1/26/1975,vio,0,peace,0,1,0,1,0,370.0624084,1.058535576,4.053522587,0.003917132,0.277408715,113.526947,-0.222264022,0,1,2.833213329,0,0.82954752,1282.851563,4.075401264,1.07451688,0.288468599,0.067552783,0.133603469,0.018934034,0.985126972,-0.099928938
Kuwait,690,1975,1,1/27/1975,peace,0,peace,0,1,0,1,0,11792.10547,0.870343029,3.701302052,0.002247483,1.257813032,48.4563446,-0.361005604,0,0,4.718498707,0,0.499909115,4467.88623,4.377281805,1.103582101,2.639302969,0.100918993,0.007974622,-0.119531468,0.788652718,-0.119481869
Romania,360,1975,3,3/9/1975,peace,0,peace,0,1,0,1,0,1304.163818,1.110095739,3.756538153,0.001653953,1.195893354,99.27988434,-0.361005604,0,0,4.804020882,0,2.043582305,4981.84668,2.980423091,1.124044272,0.261783212,0.10158281,-0.152883634,-0.051215112,0.98759079,-0.004059429
South Africa,560,1975,3,3/19/1975,peace,0,peace,0,1,0,1,0,1485.55481,1.009091616,4.461299896,0.000666566,0.833851507,103.1084061,-0.228349626,0,0,4.64439106,0,0.044028159,625.4606323,4.78351038,1.126604166,2.375137091,0.101268113,-0.095227249,0.001902257,0.895693123,-0.023098661
Democratic Republic of Congo,490,1975,4,4/2/1975,peace,0,peace,0,1,0,1,0,2133.942871,1.03778398,4.946630001,0.00583163,-0.649840228,101.1426773,-0.361005604,0,0,4.744932175,0,0.043131312,613.6904907,4.785623956,1.13087192,3.477229834,0.091588043,-0.088907115,0.001867183,0.917684793,-0.016328124
Cameroon,471,1975,4,4/5/1975,peace,0,peace,0,1,0,1,0,438.7728882,1.187095404,4.738826752,0.008428596,0.384281972,78.63575745,-0.361005604,0,0,5.220355988,0,0.043131312,613.6904907,4.785623956,1.13087192,0.714974225,0.091588043,-0.088907115,0.001867183,1.049716949,-0.016328124
Hungary,310,1975,6,6/15/1975,peace,0,peace,0,1,0,1,0,1283.215576,1.085759878,3.577947855,0.001166985,1.614346966,85.76894379,-0.361005604,0,0,5.416100502,0,2.051697321,4981.84668,2.980423091,1.124044272,0.257578284,0.115045279,-0.000343703,0.035774212,0.965940475,-0.006398191
Iran,630,1975,6,6/20/1975,peace,0,peace,0,1,0,1,0,1542.43103,1.088183641,4.661550522,0.001474274,0.065190105,108.1185379,-0.357962787,0,0,5.575949192,0,0.503108074,4467.88623,4.377281805,1.103582101,0.345226109,0.087159112,0.116862223,-0.094234735,0.986046851,-0.116172083
Finland,375,1975,9,9/21/1975,peace,0,peace,0,1,0,1,0,6274.41748,1.180824399,2.302585125,0.000677396,0.486087878,71.53707123,-0.361005604,1,0,5.463831902,3.455264568,2.059205928,4981.84668,2.980423091,1.124044272,1.259456158,0.125867069,0.166642785,0.100208201,1.050514102,-0.006850943
