"","country","dates","elecViolence1","prediction","p_rank","vio2"
"2647","Kyrgyz Republic",2021-01-10,NA,0.459331044392092,0.571428571428571,"peace"
"2619","Uganda",2021-01-14,NA,0.918404943774199,0.976190476190476,"vio"
"2653","Kazakhstan",2021-01-21,NA,0.271418390070388,0.452380952380952,"peace"
"2577","Portugal",2021-01-24,NA,0.0417207102334777,0.0714285714285714,"peace"
"2569","Ecuador",2021-02-07,NA,0.052935001821244,0.166666666666667,"peace"
"2624","Somalia",2021-02-08,NA,0.89242423153041,0.928571428571429,"vio"
"2662","Laos",2021-02-21,NA,0.323439852464285,0.476190476190476,"peace"
"2665","El Salvador",2021-02-28,NA,0.0495982292437939,0.119047619047619,"peace"
"2576","Netherlands",2021-03-17,NA,0.0454178601149531,0.0952380952380952,"peace"
"2641","Israel",2021-03-23,NA,0.0502753527783913,0.142857142857143,"peace"
"2587","Bulgaria",2021-03-28,NA,0.0999927445096686,0.30952380952381,"peace"
"2597","Cape Verde",2021-03-31,NA,0.130014953215325,0.333333333333333,"peace"
"2618","Congo",2021-03-31,NA,0.6409497958834,0.714285714285714,"vio"
"2652","Uzbekistan",2021-03-31,NA,0.217872136052864,0.357142857142857,"peace"
"2617","Chad",2021-04-10,NA,0.921724119580857,1,"vio"
"2571","Peru",2021-04-11,NA,0.0796185254351329,0.238095238095238,"peace"
"2582","Albania",2021-04-25,NA,0.40777358934616,0.523809523809524,"peace"
"2604","Benin",2021-04-30,NA,0.876231230671899,0.880952380952381,"vio"
"2625","Djibouti",2021-04-30,NA,0.613316377165551,0.69047619047619,"vio"
"2660","Nepal",2021-04-30,NA,0.822348625368924,0.80952380952381,"vio"
"2661","Nepal",2021-05-10,NA,0.801639048133017,0.785714285714286,"vio"
"2638","Syria",2021-05-16,NA,0.539175479766453,0.642857142857143,"vio"
"2602","Gambia",2021-06-05,NA,0.427751503010193,0.547619047619048,"peace"
"2636","Iraq",2021-06-06,NA,0.546585391703248,0.666666666666667,"vio"
"2635","Iran",2021-06-18,NA,0.235283989644993,0.380952380952381,"peace"
"2643","Mexico",2021-06-30,NA,0.0881163022182164,0.285714285714286,"peace"
"2650","Kyrgyz Republic",2021-06-30,NA,0.526468833126827,0.619047619047619,"vio"
"2655","Mongolia",2021-06-30,NA,0.0771499458642596,0.214285714285714,"peace"
"2627","Zambia",2021-08-11,NA,0.760526396667391,0.761904761904762,"vio"
"2596","Norway",2021-09-13,NA,0.0538000997504686,0.19047619047619,"peace"
"2591","Russia",2021-09-19,NA,0.238410826981049,0.404761904761905,"peace"
"2580","Czech Republic",2021-10-16,NA,0.0870477421445123,0.261904761904762,"peace"
"2657","Japan",2021-10-22,NA,0.0389014008596921,0.0476190476190476,"peace"
"2573","Argentina",2021-10-31,NA,0.031871494967229,0.0238095238095238,"peace"
"2664","Honduras",2021-11-07,NA,0.719431446322216,0.738095238095238,"vio"
"2667","Nicaragua",2021-11-07,NA,0.254395956158718,0.428571428571429,"peace"
"2616","Chile",2021-11-21,NA,0.849022171878838,0.833333333333333,"vio"
"2633","Morocco",2021-11-30,NA,0.378789094754322,0.5,"peace"
"2601","Gambia",2021-12-04,NA,0.466098679029415,0.595238095238095,"peace"
"2598","Haiti",2021-12-31,NA,0.887518499292468,0.904761904761905,"vio"
"2606","Cote d'Ivoire",2021-12-31,NA,0.850119360224092,0.857142857142857,"vio"
"2626","Ethiopia",2021-12-31,NA,0.913695800496315,0.952380952380952,"vio"
