"","country","dates","elecViolence1","prediction"
"2630","Ecuador",2021-02-07,NA,0.0455853998596802
"2631","Somalia",2021-02-08,NA,0.898864448502458
"2632","Laos",2021-02-21,NA,0.222197987621372
"2633","El Salvador",2021-02-28,NA,0.0445025106133032
"2634","Netherlands",2021-03-17,NA,0.0232293289792748
"2635","Israel",2021-03-23,NA,0.0447032898657839
"2636","Bulgaria",2021-03-28,NA,0.0445746705667877
"2637","Cape Verde",2021-03-31,NA,0.108494997730101
"2638","Congo",2021-03-31,NA,0.640538994113746
"2639","Uzbekistan",2021-03-31,NA,0.160890688799361
"2640","Chad",2021-04-10,NA,0.906709554759301
"2641","Peru",2021-04-11,NA,0.100299544314654
"2642","Albania",2021-04-25,NA,0.32098640609454
"2643","Benin",2021-04-30,NA,0.827754031559809
"2644","Djibouti",2021-04-30,NA,0.504944371437039
"2645","Nepal",2021-04-30,NA,0.779381826754386
"2646","Nepal",2021-05-10,NA,0.775195147844564
"2647","Syria",2021-05-16,NA,0.620707312080672
"2648","Gambia",2021-06-05,NA,0.409297490745632
"2649","Iraq",2021-06-06,NA,0.486107010345907
"2650","Iran",2021-06-18,NA,0.275654727137012
"2651","Mexico",2021-06-30,NA,0.0761052737020487
"2652","Kyrgyz Republic",2021-06-30,NA,0.185016251408089
"2653","Mongolia",2021-06-30,NA,0.0995345823498499
"2654","Zambia",2021-08-11,NA,0.688128303935794
"2655","Norway",2021-09-13,NA,0.0272619559820745
"2656","Russia",2021-09-19,NA,0.253032471745632
"2657","Czech Republic",2021-10-16,NA,0.0344940127344175
"2658","Japan",2021-10-22,NA,0.0359755436473841
"2659","Argentina",2021-10-31,NA,0.0257475770716142
"2660","Honduras",2021-11-07,NA,0.437915493205706
"2661","Nicaragua",2021-11-07,NA,0.284314666493256
"2662","Chile",2021-11-21,NA,0.864005969207749
"2663","Morocco",2021-11-30,NA,0.394296244531216
"2664","Gambia",2021-12-04,NA,0.462896692086598
"2665","Haiti",2021-12-31,NA,0.887065588852815
"2666","Cote d'Ivoire",2021-12-31,NA,0.579183015174048
"2667","Ethiopia",2021-12-31,NA,0.909084290196842
