country,dates,prediction,prediction2
Netherlands,3/17/2021,0.031106792,peace
Israel,3/23/2021,0.033255566,peace
Bulgaria,3/28/2021,0.076288179,peace
Cape Verde,3/31/2021,0.124692811,peace
Congo,3/31/2021,0.569681219,vio
Chad,4/10/2021,0.943511362,vio
Peru,4/11/2021,0.082734456,peace
Albania,4/25/2021,0.374885647,peace
Benin,4/30/2021,0.818243967,vio
Djibouti,4/30/2021,0.495266752,peace
Nepal,4/30/2021,0.796330184,vio
Nepal,5/10/2021,0.812386841,vio
Syria,5/16/2021,0.357960148,peace
Gambia,6/5/2021,0.515048519,vio
Iraq,6/6/2021,0.354481152,peace
Iran,6/18/2021,0.167063951,peace
Mexico,6/30/2021,0.086596469,peace
Kyrgyz Republic,6/30/2021,0.116537599,peace
Mongolia,6/30/2021,0.057750809,peace
Zambia,8/11/2021,0.789449035,vio
Norway,9/13/2021,0.037262707,peace
Russia,9/19/2021,0.213392296,peace
Czech Republic,10/16/2021,0.044925686,peace
Japan,10/22/2021,0.037771144,peace
Uzbekistan,10/31/2021,0.143350488,peace
Argentina,10/31/2021,0.025977937,peace
Honduras,11/7/2021,0.425421449,peace
Nicaragua,11/7/2021,0.232005402,peace
Chile,11/21/2021,0.944380635,vio
Morocco,11/30/2021,0.379592241,peace
Gambia,12/4/2021,0.497019967,peace
Somalia,12/31/2021,0.909567625,vio
Haiti,12/31/2021,0.903048538,vio
Cote d'Ivoire,12/31/2021,0.771309021,vio
Ethiopia,12/31/2021,0.907474041,vio
